session,ts_ms,gross_bps
20260818-190823,1787080141041,-4.156863654098595
20260818-190823,1787080141009,-4.156863654098595
20260818-190823,1787080141143,-4.156863654098595
20260818-190823,1787080141076,-4.156863654098595
20260818-190823,1787080141245,-4.156863654098595
20260818-190823,1787080141159,-4.156863654098595
20260818-190823,1787080141347,-4.156863654098595
20260818-190823,1787080141449,-4.156863654098595
20260818-190823,1787080141415,-4.156863654098595
20260818-190823,1787080141551,-4.156863654098595
20260818-190823,1787080141466,-4.156863654098595
20260818-190823,1787080141653,-4.156863654098595
20260818-190823,1787080141755,-4.156863654098595
20260818-190823,1787080141857,-4.156863654098595
20260818-190823,1787080141959,-4.156863654098595
20260818-190823,1787080142061,-4.156863654098595
20260818-190823,1787080142163,-4.156863654098595
20260818-190823,1787080142265,-4.156863654098595
20260818-190823,1787080142226,-4.156863654098595
20260818-190823,1787080142367,-4.156863654098595
20260818-190823,1787080142469,-4.156863654098595
20260818-190823,1787080142332,-4.156863654098595
20260818-190823,1787080142571,-4.156863654098595
20260818-190823,1787080142673,-4.156863654098595
20260818-190823,1787080142573,-4.156863654098595
20260818-190823,1787080142775,-4.156863654098595
20260818-190823,1787080142774,-4.156863654098595
20260818-190823,1787080142877,-4.156863654098595
20260818-190823,1787080142979,-4.156863654098595
20260818-190823,1787080142863,-4.156863654098595
20260818-190823,1787080143081,-4.156863654098595
20260818-190823,1787080143076,-4.156863654098595
20260818-190823,1787080143183,-4.156863654098595
20260818-190823,1787080143285,-4.156863654098595
20260818-190823,1787080143135,-4.156863654098595
20260818-190823,1787080143387,-4.156863654098595
20260818-190823,1787080143489,-4.156863654098595
20260818-190823,1787080143591,-4.156863654098595
20260818-190823,1787080143514,-4.156863654098595
20260818-190823,1787080143693,-4.156863654098595
20260818-190823,1787080143795,-4.156863654098595
20260818-190823,1787080143897,-4.156863654098595
20260818-190823,1787080143999,-4.156863654098595
20260818-190823,1787080144101,-4.156863654098595
20260818-190823,1787080144203,-4.156863654098595
20260818-190823,1787080144305,-4.156863654098595
20260818-190823,1787080144407,-4.156863654098595
20260818-190823,1787080144272,-4.156863654098595
20260818-190823,1787080144509,-4.156863654098595
20260818-190823,1787080144611,-4.156863654098595
20260818-190823,1787080144503,-4.156863654098595
20260818-190823,1787080144713,-4.156863654098595
20260818-190823,1787080144815,-4.156863654098595
20260818-190823,1787080144765,-4.156863654098595
20260818-190823,1787080144917,-4.156863654098595
20260818-190823,1787080145019,-4.156863654098595
20260818-190823,1787080144891,-4.156863654098595
20260818-190823,1787080145121,-4.156863654098595
20260818-190823,1787080145223,-4.156863654098595
20260818-190823,1787080145325,-4.156863654098595
20260818-190823,1787080145365,-4.156863654098595
20260818-190823,1787080145427,-4.156863654098595
20260818-190823,1787080145374,-4.156863654098595
20260818-190823,1787080145529,-4.156863654098595
20260818-190823,1787080145631,-4.156863654098595
20260818-190823,1787080145733,-4.156863654098595
20260818-190823,1787080145835,-4.156863654098595
20260818-190823,1787080145937,-4.156863654098595
20260818-190823,1787080146039,-4.156863654098595
20260818-190823,1787080146141,-4.156863654098595
20260818-190823,1787080146243,-4.156863654098595
20260818-190823,1787080146345,-4.156863654098595
20260818-190823,1787080146447,-4.156863654098595
20260818-190823,1787080146549,-4.156863654098595
20260818-190823,1787080146651,-4.156863654098595
20260818-190823,1787080146753,-4.156863654098595
20260818-190823,1787080146855,-4.156863654098595
20260818-190823,1787080146957,-4.156863654098595
20260818-190823,1787080146830,-4.156863654098595
20260818-190823,1787080147059,-4.156863654098595
20260818-190823,1787080147161,-4.156863654098595
20260818-190823,1787080147263,-4.156863654098595
20260818-190823,1787080147365,-4.156863654098595
20260818-190823,1787080147467,-4.156863654098595
20260818-190823,1787080147569,-4.156863654098595
20260818-190823,1787080147671,-4.156863654098595
20260818-190823,1787080147551,-4.156863654098595
20260818-190823,1787080147773,-4.156863654098595
